时间 - A,Voltage [V] - A
27:43.5,0.145061
27:43.5,0.145704
27:43.5,0.146989
27:43.5,0.145382
27:43.5,0.146025
27:43.5,0.144097
27:43.5,0.145061
27:43.5,0.142812
27:43.5,0.145704
27:43.5,0.145061
27:43.5,0.146025
27:43.5,0.144097
27:43.5,0.146346
27:43.5,0.144418
27:43.6,0.14474
27:43.6,0.14249
27:43.6,0.145061
27:43.6,0.145704
27:43.6,0.146989
27:43.6,0.144418
27:43.6,0.146668
27:43.6,0.144097
27:43.6,0.145382
27:43.6,0.142812
27:43.6,0.145382
27:43.6,0.144097
27:43.6,0.146025
27:43.6,0.145382
27:43.6,0.146025
27:43.6,0.144097
27:43.6,0.146025
27:43.6,0.143454
27:43.6,0.144097
27:43.6,0.144097
27:43.6,0.146346
27:43.6,0.145382
27:43.6,0.146668
27:43.6,0.144418
27:43.6,0.146346
27:43.6,0.143454
27:43.6,0.145061
27:43.6,0.144097
27:43.6,0.145704
27:43.6,0.145382
27:43.6,0.146668
27:43.6,0.145061
27:43.6,0.145704
27:43.6,0.144418
27:43.6,0.144418
27:43.6,0.143454
27:43.6,0.145704
27:43.6,0.145061
27:43.6,0.146025
27:43.6,0.14474
27:43.6,0.146346
27:43.6,0.14474
27:43.6,0.144418
27:43.6,0.142169
27:43.6,0.145382
27:43.6,0.145382
27:43.6,0.146025
27:43.6,0.14474
27:43.6,0.146025
27:43.6,0.144097
27:43.6,0.145704
27:43.6,0.14249
27:43.6,0.145061
27:43.6,0.145061
27:43.6,0.146989
27:43.6,0.14474
27:43.6,0.146025
27:43.6,0.145061
27:43.6,0.145704
27:43.6,0.143133
27:43.6,0.145061
27:43.6,0.144418
27:43.6,0.146989
27:43.6,0.144097
27:43.6,0.146346
27:43.6,0.144097
27:43.6,0.146025
27:43.6,0.143133
27:43.6,0.145382
27:43.6,0.14474
27:43.6,0.146989
27:43.6,0.146346
27:43.6,0.147953
27:43.6,0.145061
27:43.6,0.146346
27:43.6,0.144418
27:43.6,0.145061
27:43.6,0.144418
27:43.6,0.146025
27:43.6,0.146668
27:43.6,0.146025
27:43.6,0.146668
27:43.6,0.146025
27:43.6,0.146025
27:43.6,0.145704
27:43.6,0.14474
27:43.6,0.144418
27:43.6,0.148917
27:43.6,0.146346
27:43.6,0.149238
27:43.6,0.145382
27:43.6,0.146025
27:43.6,0.146025
27:43.6,0.146025
27:43.6,0.144418
27:43.6,0.150845
27:43.6,0.145704
27:43.6,0.150524
27:43.6,0.147632
27:43.6,0.149238
27:43.6,0.145382
27:43.6,0.145704
27:43.6,0.144418
27:43.6,0.150202
27:43.6,0.145061
27:43.6,0.153416
27:43.6,0.148917
27:43.6,0.153416
27:43.6,0.147953
27:43.6,0.146668
27:43.6,0.14474
27:43.6,0.146025
27:43.6,0.146025
27:43.6,0.150524
27:43.6,0.146346
27:43.6,0.157915
27:43.6,0.149881
27:43.6,0.158557
27:43.6,0.150202
27:43.6,0.149881
27:43.6,0.14474
27:43.6,0.151809
27:43.6,0.146025
27:43.6,0.153416
27:43.6,0.157915
27:43.6,0.152773
27:43.6,0.144097
27:43.6,0.155022
27:43.6,0.157272
27:43.6,0.15213
27:43.6,0.145704
27:43.6,0.170447
27:43.6,0.15438
27:43.6,0.155986
27:43.6,0.142812
27:43.6,0.161128
27:43.6,0.153416
27:43.6,0.161128
27:43.6,0.155986
27:43.6,0.159521
27:43.6,0.163699
27:43.6,0.157272
27:43.6,0.162092
27:43.6,0.156629
27:43.6,0.161128
27:43.6,0.15213
27:43.6,0.144097
27:43.6,0.152773
27:43.6,0.157272
27:43.6,0.149881
27:43.6,0.146346
27:43.6,0.146989
27:43.6,0.146025
27:43.6,0.14474
27:43.6,0.14474
27:43.6,0.145704
27:43.6,0.145704
27:43.6,0.146025
27:43.6,0.144418
27:43.6,0.145382
27:43.6,0.143776
27:43.6,0.143776
27:43.6,0.143454
27:43.6,0.146025
27:43.6,0.145382
27:43.6,0.146346
27:43.6,0.144418
27:43.6,0.146025
27:43.6,0.14474
27:43.6,0.144097
27:43.6,0.14249
27:43.6,0.146346
27:43.6,0.145382
27:43.6,0.146668
27:43.6,0.14474
27:43.6,0.146346
27:43.6,0.144418
27:43.6,0.145382
27:43.6,0.14249
27:43.6,0.145382
27:43.6,0.144097
27:43.6,0.146668
27:43.6,0.145382
27:43.6,0.146668
27:43.6,0.143776
27:43.6,0.145061
27:43.6,0.143776
27:43.6,0.14474
27:43.6,0.144418
27:43.6,0.146025
27:43.6,0.145061
27:43.6,0.146346
27:43.6,0.14474
27:43.6,0.145061
27:43.6,0.143776
27:43.6,0.14474
27:43.6,0.143454
27:43.6,0.146346
27:43.6,0.145061
27:43.6,0.146346
27:43.6,0.14474
27:43.6,0.145704
27:43.6,0.144097
27:43.6,0.14474
27:43.6,0.143454
27:43.6,0.146346
27:43.6,0.145382
27:43.6,0.146346
27:43.6,0.144418
27:43.6,0.145704
27:43.6,0.143776
27:43.6,0.144418
27:43.6,0.14249
27:43.6,0.146346
27:43.6,0.145382
27:43.6,0.146346
27:43.6,0.14474
27:43.6,0.146025
27:43.6,0.144418
27:43.6,0.14474
27:43.6,0.143454
27:43.6,0.145061
27:43.6,0.14474
27:43.6,0.146668
27:43.6,0.145704
27:43.6,0.146025
27:43.6,0.144097
27:43.6,0.145382
27:43.6,0.143454
27:43.6,0.14474
27:43.6,0.144097
27:43.6,0.146668
27:43.6,0.145061
27:43.6,0.146668
27:43.6,0.14474
27:43.6,0.145382
27:43.6,0.143454
27:43.6,0.144418
27:43.6,0.143454
27:43.6,0.146668
27:43.6,0.145061
27:43.6,0.146025
27:43.6,0.144418
27:43.6,0.146346
27:43.6,0.143776
27:43.6,0.144097
27:43.6,0.143776
27:43.6,0.146346
27:43.6,0.144097
27:43.6,0.146025
27:43.6,0.14474
27:43.6,0.146025
27:43.6,0.143776
27:43.6,0.145061
27:43.6,0.143133
27:43.6,0.146025
27:43.6,0.144418
27:43.6,0.146989
27:43.6,0.145061
27:43.6,0.146346
27:43.6,0.144418
27:43.6,0.145061
27:43.6,0.142812
27:43.6,0.144418
27:43.6,0.14474
27:43.6,0.146668
27:43.6,0.145061
27:43.6,0.146668
27:43.6,0.145382
27:43.6,0.146346
27:43.6,0.143454
27:43.6,0.144097
27:43.6,0.144097
27:43.6,0.146668
27:43.6,0.145704
27:43.6,0.146668
27:43.6,0.144097
27:43.6,0.145704
27:43.6,0.144097
27:43.6,0.144418
27:43.6,0.143454
27:43.6,0.146346
27:43.6,0.14474
27:43.6,0.146025
27:43.6,0.145061
27:43.6,0.146346
27:43.6,0.144418
27:43.6,0.144097
27:43.6,0.142812
27:43.6,0.145382
27:43.6,0.145061
27:43.6,0.146346
27:43.6,0.144418
27:43.6,0.145704
27:43.6,0.144418
27:43.6,0.14474
27:43.6,0.143133
27:43.6,0.145704
27:43.6,0.14474
27:43.6,0.146989
27:43.6,0.144418
27:43.6,0.146346
27:43.6,0.144418
27:43.6,0.145382
27:43.6,0.142812
27:43.6,0.14474
27:43.6,0.14474
27:43.6,0.146346
27:43.6,0.14474
27:43.6,0.146668
27:43.6,0.144418
27:43.6,0.145704
27:43.6,0.143133
27:43.6,0.143776
27:43.6,0.144097
27:43.6,0.146668
27:43.6,0.14474
27:43.6,0.146989
27:43.6,0.14474
27:43.6,0.145704
27:43.6,0.144097
27:43.6,0.145382
27:43.6,0.143133
27:43.6,0.145704
27:43.6,0.145382
27:43.6,0.146346
27:43.6,0.14474
27:43.6,0.145704
27:43.6,0.144418
27:43.6,0.144418
27:43.6,0.14249
27:43.6,0.145704
27:43.6,0.14474
27:43.6,0.146025
27:43.6,0.145061
27:43.6,0.146989
27:43.6,0.14474
27:43.6,0.145061
27:43.6,0.14249
27:43.6,0.145061
27:43.6,0.145061
27:43.6,0.146346
27:43.6,0.144418
27:43.6,0.145704
27:43.6,0.14474
27:43.6,0.145704
27:43.6,0.143454
27:43.6,0.144097
27:43.6,0.14474
27:43.6,0.146346
27:43.6,0.145061
27:43.6,0.146346
27:43.6,0.143776
27:43.6,0.145382
27:43.6,0.144097
27:43.6,0.144097
27:43.6,0.143454
27:43.6,0.146025
27:43.6,0.146025
27:43.6,0.146025
27:43.6,0.145061
27:43.6,0.145704
27:43.6,0.144418
27:43.6,0.14474
27:43.6,0.14249
27:43.6,0.145382
27:43.6,0.145704
27:43.6,0.145382
27:43.6,0.14474
27:43.6,0.146025
27:43.6,0.144418
27:43.6,0.144418
27:43.6,0.142812
27:43.6,0.145061
27:43.6,0.145382
27:43.6,0.146025
27:43.6,0.145382
27:43.6,0.146346
27:43.6,0.144097
27:43.6,0.145061
27:43.6,0.142812
27:43.6,0.145382
27:43.6,0.14474
27:43.6,0.146025
27:43.6,0.145061
27:43.6,0.146346
27:43.6,0.144418
27:43.6,0.14474
27:43.6,0.142812
27:43.6,0.145061
27:43.6,0.145061
27:43.6,0.146025
27:43.6,0.145382
27:43.6,0.146346
27:43.6,0.144418
27:43.6,0.145061
27:43.6,0.143133
27:43.6,0.143776
27:43.6,0.143133
27:43.6,0.146346
27:43.6,0.145061
27:43.6,0.146668
27:43.6,0.14474
27:43.6,0.145382
27:43.6,0.144097
27:43.6,0.144097
27:43.6,0.143133
27:43.6,0.146025
27:43.6,0.14474
27:43.6,0.146346
27:43.6,0.14474
27:43.6,0.145382
27:43.6,0.144097
27:43.6,0.144418
27:43.6,0.143454
27:43.6,0.145704
27:43.6,0.145704
27:43.6,0.146346
27:43.6,0.144418
27:43.6,0.145382
27:43.6,0.144418
27:43.6,0.143776
27:43.6,0.142812
27:43.6,0.146025
27:43.6,0.145704
27:43.6,0.146989
27:43.6,0.14474
27:43.6,0.146025
27:43.6,0.144097
27:43.6,0.14474
27:43.6,0.14249
27:43.6,0.145061
27:43.6,0.145061
27:43.6,0.146025
27:43.6,0.145382
27:43.6,0.145704
27:43.6,0.14474
27:43.6,0.145382
27:43.6,0.143454
27:43.6,0.144097
27:43.6,0.145382
27:43.6,0.146668
27:43.6,0.145061
27:43.6,0.146346
27:43.6,0.145061
27:43.6,0.144418
27:43.6,0.142812
27:43.6,0.14474
27:43.6,0.14474
27:43.6,0.146025
27:43.6,0.145382
27:43.6,0.146025
27:43.6,0.144418
27:43.6,0.145704
27:43.6,0.143454
27:43.6,0.14474
27:43.6,0.144418
27:43.6,0.146346
27:43.6,0.145382
27:43.6,0.146025
27:43.6,0.145061
27:43.6,0.14474
27:43.6,0.143776
27:43.6,0.14474
27:43.6,0.14474
27:43.6,0.146989
27:43.6,0.145382
27:43.6,0.146025
27:43.6,0.144418
27:43.6,0.145704
27:43.6,0.143133
27:43.6,0.143454
27:43.6,0.144097
27:43.6,0.146668
27:43.6,0.145061
27:43.6,0.146025
27:43.6,0.144097
27:43.6,0.145704
27:43.6,0.143454
27:43.6,0.144418
27:43.6,0.143454
27:43.6,0.146346
27:43.6,0.14474
27:43.6,0.146025
27:43.6,0.14474
27:43.6,0.145704
27:43.6,0.143454
27:43.6,0.143454
27:43.6,0.143133
27:43.6,0.146346
27:43.6,0.14474
27:43.6,0.145704
27:43.6,0.145382
27:43.6,0.145382
27:43.6,0.144418
27:43.6,0.14474
27:43.6,0.142812
27:43.6,0.145382
27:43.6,0.14474
27:43.6,0.146025
27:43.6,0.14474
27:43.6,0.146025
27:43.6,0.14474
27:43.6,0.143776
27:43.6,0.143133
27:43.6,0.145382
27:43.6,0.145382
27:43.6,0.146025
27:43.6,0.145061
27:43.6,0.146025
27:43.6,0.144418
27:43.6,0.145061
27:43.6,0.143133
27:43.6,0.145382
27:43.6,0.145382
27:43.6,0.146668
27:43.6,0.14474
27:43.6,0.145704
27:43.6,0.144097
27:43.6,0.145061
27:43.6,0.142812
27:43.6,0.14474
27:43.6,0.14474
27:43.6,0.146346
27:43.6,0.145382
27:43.6,0.146025
27:43.6,0.144418
27:43.6,0.144418
27:43.6,0.143133
27:43.6,0.145061
27:43.6,0.144418
27:43.6,0.146025
27:43.6,0.145061
27:43.6,0.146668
27:43.6,0.14474
27:43.6,0.145061
27:43.6,0.143454
27:43.6,0.144418
27:43.6,0.144097
27:43.6,0.146025
27:43.6,0.145061
27:43.6,0.146346
27:43.6,0.14474
27:43.6,0.146025
27:43.6,0.143454
27:43.6,0.143776
27:43.6,0.144418
27:43.6,0.146025
27:43.6,0.145061
27:43.6,0.146025
27:43.6,0.14474
27:43.6,0.145704
27:43.6,0.143776
27:43.6,0.144097
27:43.6,0.143454
27:43.6,0.146346
27:43.6,0.145061
27:43.6,0.145704
27:43.6,0.145061
27:43.6,0.145704
27:43.6,0.143776
27:43.6,0.144418
27:43.6,0.143133
27:43.6,0.145704
27:43.6,0.144418
27:43.6,0.146668
27:43.6,0.145061
27:43.6,0.146025
27:43.6,0.144097
27:43.6,0.145061
27:43.6,0.142812
27:43.6,0.145061
27:43.6,0.14474
27:43.6,0.146668
27:43.6,0.145061
27:43.6,0.145382
27:43.6,0.144097
27:43.6,0.144418
27:43.6,0.142812
27:43.6,0.145382
27:43.6,0.145061
27:43.6,0.146025
27:43.6,0.144097
27:43.6,0.145704
27:43.6,0.144097
27:43.6,0.145061
27:43.6,0.143133
27:43.6,0.145704
27:43.6,0.145382
27:43.6,0.145704
27:43.6,0.145061
27:43.6,0.146025
27:43.6,0.144097
27:43.6,0.14474
27:43.6,0.143454
27:43.6,0.144418
27:43.6,0.145382
27:43.6,0.146346
27:43.6,0.144418
27:43.6,0.146025
27:43.6,0.145061
27:43.6,0.145382
27:43.6,0.143454
27:43.6,0.14474
27:43.6,0.144418
27:43.6,0.146025
27:43.6,0.145382
27:43.6,0.146025
27:43.6,0.144418
27:43.6,0.14474
27:43.6,0.143454
27:43.6,0.145061
27:43.6,0.144418
27:43.6,0.146025
27:43.6,0.145061
27:43.6,0.146668
27:43.6,0.143776
27:43.6,0.145061
27:43.6,0.143454
27:43.6,0.144418
27:43.6,0.143776
27:43.6,0.146025
27:43.6,0.145382
27:43.6,0.146025
27:43.6,0.14474
27:43.6,0.14474
27:43.6,0.143776
27:43.6,0.143776
27:43.6,0.143454
27:43.6,0.145704
27:43.6,0.14474
27:43.6,0.146025
27:43.6,0.145382
27:43.6,0.146025
27:43.6,0.144097
27:43.6,0.143454
27:43.6,0.143776
27:43.6,0.146025
27:43.6,0.145061
27:43.6,0.146346
27:43.6,0.14474
27:43.6,0.145704
27:43.6,0.14474
27:43.6,0.144097
27:43.6,0.142812
27:43.6,0.145061
27:43.6,0.145382
27:43.6,0.146346
27:43.6,0.145382
27:43.6,0.145704
27:43.6,0.144097
27:43.6,0.145382
27:43.6,0.143776
27:43.6,0.145061
27:43.6,0.14474
27:43.6,0.146346
27:43.6,0.14474
27:43.6,0.145704
27:43.6,0.14474
27:43.6,0.145061
27:43.6,0.142812
27:43.6,0.145382
27:43.6,0.145382
27:43.6,0.146025
27:43.6,0.145382
27:43.6,0.146025
27:43.6,0.14474
27:43.6,0.145061
27:43.6,0.14249
27:43.6,0.144097
27:43.6,0.14474
27:43.6,0.146346
27:43.6,0.145382
27:43.6,0.145704
27:43.6,0.144418
27:43.6,0.145704
27:43.6,0.143776
27:43.6,0.144418
27:43.6,0.144418
27:43.6,0.146346
27:43.6,0.144418
27:43.6,0.146668
27:43.6,0.144418
27:43.6,0.145382
27:43.6,0.144097
27:43.6,0.144097
27:43.6,0.143454
27:43.6,0.146025
27:43.6,0.144418
27:43.6,0.146346
27:43.6,0.14474
27:43.6,0.145382
27:43.6,0.143454
27:43.6,0.144097
27:43.6,0.144418
27:43.6,0.146025
27:43.6,0.145061
27:43.6,0.146668
27:43.6,0.14474
27:43.6,0.145704
27:43.6,0.144418
27:43.6,0.144097
27:43.6,0.142812
27:43.6,0.145382
27:43.6,0.145382
27:43.6,0.146346
27:43.6,0.14474
27:43.6,0.145382
27:43.6,0.144097
27:43.6,0.14474
27:43.6,0.142812
27:43.6,0.14474
27:43.6,0.145382
27:43.6,0.146346
27:43.6,0.145061
27:43.6,0.146025
27:43.6,0.144418
27:43.6,0.144097
27:43.6,0.143454
27:43.6,0.144418
27:43.6,0.14474
27:43.6,0.146025
27:43.6,0.145061
27:43.6,0.146025
27:43.6,0.144418
27:43.6,0.145061
27:43.6,0.142812
27:43.6,0.143776
27:43.6,0.14474
27:43.6,0.146346
27:43.6,0.14474
27:43.6,0.146025
27:43.6,0.14474
27:43.6,0.145061
27:43.6,0.143454
27:43.6,0.144097
27:43.6,0.144097
27:43.6,0.146668
27:43.6,0.14474
27:43.6,0.145704
27:43.6,0.145061
27:43.6,0.146025
27:43.6,0.143776
27:43.6,0.144418
27:43.6,0.143776
27:43.6,0.146668
27:43.6,0.145704
27:43.6,0.145382
27:43.6,0.14474
27:43.6,0.145704
27:43.6,0.144097
27:43.6,0.144418
27:43.6,0.142812
27:43.6,0.146346
27:43.6,0.145061
27:43.6,0.146025
27:43.6,0.14474
27:43.6,0.145704
27:43.6,0.143454
27:43.6,0.144097
27:43.6,0.142812
27:43.6,0.145382
27:43.6,0.145061
27:43.6,0.146346
27:43.6,0.14474
27:43.6,0.145704
27:43.6,0.143776
27:43.6,0.144097
27:43.6,0.142812
27:43.6,0.146025
27:43.6,0.145382
27:43.6,0.146025
27:43.6,0.14474
27:43.6,0.145704
27:43.6,0.14474
27:43.6,0.144418
27:43.6,0.142812
27:43.6,0.14474
27:43.6,0.14474
27:43.6,0.146346
27:43.6,0.145382
27:43.6,0.146025
27:43.6,0.145061
27:43.6,0.145061
27:43.6,0.142812
27:43.6,0.145061
27:43.6,0.145061
27:43.6,0.146025
27:43.6,0.145061
27:43.6,0.146025
27:43.6,0.144418
27:43.6,0.145704
27:43.6,0.143776
27:43.6,0.144418
27:43.6,0.143776
27:43.6,0.146346
27:43.6,0.145061
27:43.6,0.146025
27:43.6,0.145061
27:43.6,0.146025
27:43.6,0.142812
27:43.6,0.143776
27:43.6,0.144097
27:43.6,0.145704
27:43.6,0.145382
27:43.6,0.146346
27:43.6,0.145061
27:43.6,0.145382
27:43.6,0.143454
27:43.6,0.145061
27:43.6,0.143454
27:43.6,0.146025
27:43.6,0.145061
27:43.6,0.146668
27:43.6,0.145382
27:43.6,0.145704
27:43.6,0.143454
27:43.6,0.144097
27:43.6,0.142812
27:43.6,0.145704
27:43.6,0.145061
27:43.6,0.146668
27:43.6,0.144418
27:43.6,0.146668
27:43.6,0.144418
27:43.6,0.144418
27:43.6,0.14249
27:43.6,0.145704
27:43.6,0.14474
27:43.6,0.146025
27:43.6,0.145061
27:43.6,0.146025
27:43.6,0.144418
27:43.6,0.145382
27:43.6,0.14249
27:43.6,0.144097
27:43.6,0.144418
27:43.6,0.146989
27:43.6,0.145382
27:43.6,0.146346
27:43.6,0.144097
27:43.6,0.146025
27:43.6,0.142812
27:43.6,0.14474
27:43.6,0.144418
27:43.6,0.146346
27:43.6,0.14474
27:43.6,0.146668
27:43.6,0.145061
27:43.6,0.145382
27:43.6,0.143454
27:43.6,0.144097
27:43.6,0.144097
27:43.6,0.146668
27:43.6,0.14474
27:43.6,0.146025
27:43.6,0.145382
27:43.6,0.145382
27:43.6,0.143454
27:43.6,0.144418
27:43.6,0.143454
27:43.6,0.145704
27:43.6,0.146025
27:43.6,0.146025
27:43.6,0.144418
27:43.6,0.146989
27:43.6,0.144418
27:43.6,0.14474
27:43.6,0.143133
27:43.6,0.146025
27:43.6,0.145382
27:43.6,0.14731
27:43.6,0.14474
27:43.6,0.145382
27:43.6,0.145061
27:43.6,0.145061
27:43.6,0.143454
27:43.6,0.143776
27:43.6,0.144418
27:43.6,0.146989
27:43.6,0.144418
27:43.6,0.146025
27:43.6,0.144097
27:43.6,0.145704
27:43.6,0.142812
27:43.6,0.145061
27:43.6,0.144418
27:43.6,0.146025
27:43.6,0.145061
27:43.6,0.146346
27:43.6,0.145061
27:43.6,0.145704
27:43.6,0.143133
27:43.6,0.144418
27:43.6,0.143776
27:43.6,0.146668
27:43.6,0.145382
27:43.6,0.146346
27:43.6,0.14474
27:43.6,0.146668
27:43.6,0.143776
27:43.6,0.144097
27:43.6,0.142812
27:43.6,0.146668
27:43.6,0.145061
27:43.6,0.145704
27:43.6,0.145382
27:43.6,0.146025
27:43.6,0.143776
27:43.6,0.145704
27:43.6,0.143133
27:43.6,0.145382
27:43.6,0.145061
27:43.6,0.146989
27:43.6,0.145061
27:43.6,0.146025
27:43.6,0.144418
27:43.6,0.145382
27:43.6,0.143133
27:43.6,0.144097
27:43.6,0.144097
27:43.6,0.146025
27:43.6,0.145704
27:43.6,0.146025
27:43.6,0.144097
27:43.6,0.145704
27:43.6,0.143776
27:43.6,0.144097
27:43.6,0.144097
27:43.6,0.146346
27:43.6,0.145382
27:43.6,0.146668
27:43.6,0.14474
27:43.6,0.145704
27:43.6,0.143454
27:43.6,0.144097
27:43.6,0.142812
27:43.6,0.146989
27:43.6,0.14474
27:43.6,0.146668
27:43.6,0.14474
27:43.6,0.146025
27:43.6,0.143133
27:43.6,0.145382
27:43.6,0.143133
27:43.6,0.146346
27:43.6,0.145704
27:43.6,0.147632
27:43.6,0.14474
27:43.6,0.146668
27:43.6,0.14474
27:43.6,0.145382
27:43.6,0.14249
27:43.6,0.146346
27:43.6,0.145704
27:43.6,0.147632
27:43.6,0.145061
27:43.6,0.146668
27:43.6,0.145061
27:43.6,0.145382
27:43.6,0.143776
27:43.6,0.145382
27:43.6,0.145061
27:43.6,0.146989
27:43.6,0.146025
27:43.6,0.146989
27:43.6,0.14474
27:43.6,0.145704
27:43.6,0.143776
27:43.6,0.14474
27:43.6,0.145382
27:43.6,0.146346
27:43.6,0.146346
27:43.6,0.146668
27:43.6,0.145704
27:43.6,0.146025
27:43.6,0.144418
27:43.6,0.144097
27:43.6,0.145382
27:43.6,0.147953
27:43.6,0.145704
27:43.6,0.146025
27:43.6,0.146025
27:43.6,0.145704
27:43.6,0.144097
27:43.6,0.143776
27:43.6,0.145382
27:43.6,0.146025
27:43.6,0.146989
27:43.6,0.146025
27:43.6,0.146346
27:43.6,0.145382
27:43.6,0.145704
27:43.6,0.148917
27:43.6,0.146025
27:43.6,0.146346
27:43.6,0.14731
27:43.6,0.146346
27:43.6,0.147953
27:43.6,0.146025
27:43.6,0.147953
27:43.6,0.144097
27:43.6,0.147632
27:43.6,0.145704
27:43.6,0.152773
27:43.6,0.149238
27:43.6,0.151488
27:43.6,0.151809
27:43.6,0.15213
27:43.6,0.144097
27:43.6,0.151166
27:43.6,0.14474
27:43.6,0.157272
27:43.6,0.145061
27:43.6,0.155665
27:43.6,0.161128
27:43.6,0.164984
27:43.6,0.144097
27:43.6,0.157915
27:43.6,0.160485
27:43.6,0.165627
27:43.6,0.164663
27:43.6,0.172375
27:43.6,0.164341
27:43.6,0.164341
27:43.6,0.144097
27:43.6,0.169161
27:43.6,0.153737
27:43.6,0.154701
27:43.6,0.155986
27:43.6,0.154058
27:43.6,0.145382
27:43.6,0.150845
27:43.6,0.146668
27:43.6,0.14474
27:43.6,0.145061
27:43.6,0.145061
27:43.6,0.145704
27:43.6,0.146346
27:43.6,0.144418
27:43.6,0.146025
27:43.6,0.144418
27:43.6,0.14474
27:43.6,0.14249
27:43.6,0.14474
27:43.6,0.14474
27:43.6,0.146346
27:43.6,0.14474
27:43.6,0.146346
27:43.6,0.14474
27:43.6,0.145061
27:43.6,0.14249
27:43.6,0.145061
27:43.6,0.145061
27:43.6,0.146346
27:43.6,0.145061
27:43.6,0.146346
27:43.6,0.14474
27:43.6,0.145704
27:43.6,0.143133
27:43.6,0.143776
27:43.6,0.144097
27:43.6,0.146346
27:43.6,0.144418
27:43.6,0.146668
27:43.6,0.144418
27:43.6,0.145382
27:43.6,0.143776
27:43.6,0.14474
27:43.6,0.144097
27:43.6,0.146025
27:43.6,0.145382
27:43.6,0.146025
27:43.6,0.14474
27:43.6,0.145704
27:43.6,0.144418
27:43.6,0.144097
27:43.6,0.143454
27:43.6,0.145704
27:43.6,0.14474
27:43.6,0.146346
27:43.6,0.145061
27:43.6,0.145704
27:43.6,0.14474
27:43.6,0.14474
27:43.6,0.143776
27:43.6,0.145382
27:43.6,0.145061
27:43.6,0.146025
27:43.6,0.145382
27:43.6,0.146346
27:43.6,0.14474
27:43.6,0.14474
27:43.6,0.143454
27:43.6,0.14474
27:43.6,0.144418
27:43.6,0.146668
27:43.6,0.145382
27:43.6,0.146025
27:43.6,0.144097
27:43.6,0.145704
27:43.6,0.144097
27:43.6,0.144418
27:43.6,0.14474
27:43.6,0.146025
27:43.6,0.145382
27:43.6,0.146025
27:43.6,0.145061
27:43.6,0.145061
27:43.6,0.143454
27:43.6,0.144097
27:43.6,0.144418
27:43.6,0.146346
27:43.6,0.144097
27:43.6,0.146346
27:43.6,0.145382
27:43.6,0.146025
27:43.6,0.143776
27:43.6,0.144097
27:43.6,0.143454
27:43.6,0.146025
27:43.6,0.145704
27:43.6,0.146025
27:43.6,0.145061
27:43.6,0.145382
27:43.6,0.144097
27:43.6,0.144097
27:43.6,0.142812
27:43.6,0.146025
